student,Key-Press,Key-Release,Expertise
1,0.051403962,0.057304208,1
2,0.312803682,0.113836868,0
3,0.052136594,0.037753942,1
4,0.082238075,0.076087882,1
5,0.076341629,0.046759668,0
6,0.122012866,0.110917648,0
7,0.067630466,0.044566718,1
8,0.065810919,0.060016132,1
9,0.146349657,0.132725977,0
10,0.072720428,0.063075833,1
11,0.059596606,0.031930359,1
12,0.090894586,0.055827919,0
13,0.053725798,0.059569513,0
14,0.071953949,0.062383077,1
15,0.087467966,0.079295183,0
16,0.058185499,0.076994336,1
17,0.074683836,0.069969695,0
18,0.053638369,0.00076898,1
19,0.040140204,0.007706932,1
20,0.058978943,0.047018968,1
21,0.074472653,0.059717855,0
22,0.111650597,0.033822834,0
23,0.074109839,0.073592092,0
24,0.054601451,0.048371929,1
25,0.012199154,0.032319567,0
26,0.092793633,0.044494484,0
